station,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
South Kensington,28.25,28.48,28.24,29.78,30.61,32.5,32.75,36.46,33.869744,33.6,33.86
South Kenton,0.81,0.82,0.85,0.92,0.96,0.97,1.02,1.1,0.957195,1.17,1.21
South Ruislip,1.52,1.61,1.61,1.68,1.76,1.71,1.77,1.76,1.7180849999999999,1.76,2.02
South Wimbledon,3.72,3.68,3.8,3.6,3.75,3.7,3.79,4.28,4.5704400000000005,4.76,4.87
South Woodford,3.71,3.84,4.09,3.98,4.39,4.33,4.59,5.03,5.1486790000000004,5.25,5.28
Southfields,5.74,5.63,5.51,5.21,5.26,5.58,5.79,6.13,6.173897,6.28,6.03
Southgate,4.81,5.05,4.96,4.91,4.91,4.88,5.39,5.63,5.555527,5.65,5.59
Southwark,8.52,9.66,10.03,10.44,11.07,11.98,13.46,14.15,17.937654000000002,17.86,16.71
St. James's Park,13.08,13.19,13.42,13.3,13.5,14.26,14.73,15.73,15.698185999999998,14.93,14.29
St. John's Wood,6.65,6.66,6.52,6.37,6.74,7.07,7.27,7.62,7.879484,7.79,7.79
St. Paul's,13.23,12.95,14.15,16.16,17.08,15.05,16.44,17.54,17.371372,18.42,17.2
Stamford Brook,2.78,2.64,2.43,2.5,2.52,2.63,2.66,2.67,2.695977,2.7,2.69
Stanmore,2.83,2.78,2.78,2.68,3.02,3.36,3.54,3.89,3.9736860000000003,4.04,3.92
Stepney Green,4.03,4.4,4.14,4.13,4.38,4.68,5.0,5.43,5.846372,6.41,6.34
Stockwell,8.0,8.36,7.87,8.04,8.33,8.87,9.42,10.52,11.082161,11.42,11.7
Stonebridge Park,2.08,2.13,2.4,2.37,2.59,2.48,2.54,2.61,2.67489,2.53,2.54
Stratford,25.63,27.23,26.99,29.82,48.57,50.96,54.5,59.31,61.44263,67.05,61.99
Sudbury Hill,2.21,2.11,2.01,1.96,2.01,2.03,2.01,2.21,2.217946,1.98,1.88
Sudbury Town,2.29,2.24,2.16,2.12,2.06,2.01,1.98,2.1,2.179203,2.0,1.81
Swiss Cottage,7.24,7.06,6.65,6.2,6.91,7.53,7.83,7.28,7.7108300000000005,7.58,7.76
Temple,7.35,6.77,9.64,9.4,9.99,7.82,7.92,8.14,8.595799000000001,8.22,8.95
Theydon Bois,0.64,0.65,0.67,0.66,0.74,0.75,0.82,0.85,0.8547020000000001,0.85,0.95
Tooting Bec,7.09,6.99,6.43,6.3,6.56,6.86,6.9,7.56,7.933544,7.92,8.07
Tooting Broadway,13.19,13.0,12.98,12.87,13.04,13.23,13.51,15.11,15.737978,15.92,16.21
Tottenham Court Road,37.29,36.57,34.87,34.55,23.99,36.01,38.06,36.76,16.2498,39.35,41.33
Tottenham Hale,7.7,8.35,7.75,8.31,8.86,9.8,10.32,11.91,11.954313,13.21,12.47
Totteridge & Whetstone,1.65,1.81,1.78,1.86,1.98,1.92,1.95,2.24,2.33448,2.23,2.54
Tower Hill,19.44,20.31,21.61,21.79,21.58,22.54,23.41,26.32,22.176713,21.83,21.03
Tufnell Park,3.24,3.35,3.7,3.75,3.55,3.68,3.94,3.94,0.0,3.71,4.11
Turnham Green,5.9,5.99,5.85,5.9,5.83,6.03,6.2,6.46,6.4459230000000005,5.65,6.16
Turnpike Lane,9.76,9.87,9.62,9.39,9.8,9.6,10.29,10.77,10.790301,10.86,10.74
Upminster,4.57,4.39,4.43,4.43,4.56,4.73,4.96,5.16,5.140645,5.34,5.52
Upminster Bridge,0.78,0.93,0.87,0.89,0.99,1.1,1.1,1.14,1.146772,1.16,1.15
Upney,1.86,1.84,1.87,1.89,2.11,2.13,2.3,2.53,2.684747,2.72,2.7
Upton Park,8.84,9.59,10.36,10.55,11.01,10.3,10.48,11.41,11.413623,10.14,9.59
Uxbridge,6.49,6.93,6.75,6.71,6.91,7.18,7.59,8.07,8.341531,8.45,8.38
Vauxhall,18.82,18.56,18.3,19.3,20.87,22.84,25.15,27.51,26.834959,32.23,30.83
Victoria,76.41,78.41,77.44,79.93,82.25,82.96,84.58,86.73,82.88556,83.5,79.36
Walthamstow Central,13.74,14.16,13.44,13.75,14.32,15.09,16.68,18.05,18.333582,22.77,9.59
Wanstead,2.21,2.26,2.2,2.38,2.57,2.56,2.73,3.09,2.9035599999999997,2.96,2.95
Warren Street,14.17,14.38,14.04,13.6,15.69,16.51,17.6,19.41,19.917362,20.35,20.11
Warwick Avenue,4.22,4.26,4.23,4.31,4.3,4.31,4.62,4.51,4.501822,4.51,4.27
Waterloo,74.84,77.2,75.94,81.57,84.12,88.16,89.4,91.49,95.138374,100.36,91.27
Watford,1.64,1.62,1.5,1.48,1.57,1.6,1.66,1.76,1.845823,1.84,1.86
Wembley Central,3.2,3.5,4.23,4.37,4.56,5.18,4.59,5.52,5.789848999999999,5.77,5.93
Wembley Park,11.91,10.75,9.32,9.02,9.66,10.6,11.74,14.11,14.542576,15.1,16.58
West Acton,1.56,1.65,1.59,1.58,1.62,1.58,1.69,1.67,1.736847,1.82,1.72
West Brompton,3.78,3.71,3.72,4.17,4.25,4.54,4.61,4.47,5.168451999999999,6.1,5.88
West Finchley,1.16,1.22,1.19,1.29,1.37,1.37,1.37,1.54,1.613941,1.67,1.69
West Ham,3.17,3.05,3.12,3.39,3.42,3.27,3.4,3.51,3.814553,3.46,4.41
West Hampstead,7.46,7.36,7.45,7.45,8.23,9.71,10.16,10.59,11.160117,11.04,11.8
West Harrow,1.15,1.19,1.2,1.1,1.08,1.1,1.13,1.2,1.329655,1.49,1.53
West Kensington,4.84,4.72,4.55,4.53,4.64,4.95,5.04,5.14,5.321523,5.06,5.23
West Ruislip,1.25,1.3,1.5,1.68,1.64,1.61,1.6,1.56,1.564634,1.67,1.72
Westbourne Park,2.87,3.11,2.9,2.73,3.03,3.37,3.73,3.73,3.7949599999999997,3.98,4.13
Westminster,18.36,19.05,19.08,20.15,20.78,22.09,23.5,26.03,25.614455,28.38,25.6
White City,7.43,9.33,7.85,8.03,7.74,7.53,7.22,7.51,7.7044179999999995,8.95,8.84
Whitechapel,12.43,11.55,12.14,12.69,12.62,13.04,14.45,12.89,11.702345,14.37,13.8
Willesden Green,8.52,8.14,7.34,7.15,7.81,8.23,8.56,8.82,8.960771000000001,8.97,8.8
